,review,review header,sentiments,sentiment label
236,"Friendly greeting, in quickly, review of service required by manufacturer",Friendly,0.7003,Very Positive
237,"My experience was exceptional, my brother is a mechanic that is the only reason I say probably over definitely",Good customer service,0.4019,Positive
238,There was an employee Alex Camacho that did a very good job with assisting me and getting me what I needed,Knowledgeable employees,0.4927,Positive
239,Great,Good customer service,0.6249,Very Positive
240,Depending on price and my available coupons,Fair price,0.0,Neutral
241,I will return,Other,0.0,Neutral
242,courtesy of employees and 7 years of trouble free mileage with my car,Courtesy,0.4767,Positive
243,They know me,Knowledgeable employees,0.0,Neutral
244,Great customer service by all staff,Good customer service,0.6249,Very Positive
245,timely manner in which my car was serviced,Fast/Quick/Speedy/Timely,0.0,Neutral
246,The staff was courteous and efficient and worked fast,Courtesy,0.7269,Very Positive
247,Convenient friendly service,Friendly,0.4939,Positive
248,"The employees are polite, friendly and genuine",Friendly,0.4939,Positive
249,The easy of getting in and out,Fast/Quick/Speedy/Timely,0.4404,Positive
250,The team was awesome,Good customer service,0.6249,Very Positive
251,Quick service cheap prices,Fast/Quick/Speedy/Timely,0.0,Neutral
252,"My vehicle is 10 yrs old and Jiffy Lube has always been servicing it, except for tires and brakes",Good customer service,0.0,Neutral
253,The oil change service was super fast,Fast/Quick/Speedy/Timely,0.5994,Very Positive
254,I know I can get in and out on my lunch break,Fast/Quick/Speedy/Timely,0.0,Neutral
255,The workers were all very polite and informative,Courtesy,0.0,Neutral
256,The people were very nice and detailed about my vehicle,Friendly,0.4754,Positive
257,"The staff are always very friendly , helpful thorough",Friendly,0.763,Very Positive
258,"Friendly, efficient service",Friendly,0.7184,Very Positive
259,Great service,Good customer service,0.6249,Very Positive
260,"My local Jiffy Lube always delivers excellent service, quickly",Good customer service,0.5719,Very Positive
261,In and out everytime,Fast/Quick/Speedy/Timely,0.0,Neutral
262,The prompt efficient service,Fast/Quick/Speedy/Timely,0.4215,Positive
263,"Efficient, courteous, not pushy",Good customer service,0.7854,Very Positive
264,"I have been very happy with my Jiffy Lube experiences, John, the manager, pays close attention to what is being done and to the history of services on my truck",Good customer service,0.6115,Very Positive
265,Depends if they can do the work at my location,Convenient,0.0,Neutral
266,Professional and great service!!,Professional,0.6892,Very Positive
267,"Staff is always friendly, knowledgable, professional, and efficient",Friendly,0.7184,Very Positive
268,"The oil changes are generally fairly quick, but the times I have had other routine maintenance done it seems to take a while to get it done",Fast/Quick/Speedy/Timely,0.0,Neutral
269,"Friendly staff, quick and efficient service!",Friendly,0.7424,Very Positive
270,"always get great, friendly, pressure-free service",Friendly,0.8074,Very Positive
271,I have to say I really liked the guy that walked me thru the service,Knowledgeable employees,0.4754,Positive
272,Tech used instrument to reset my air pressure gauge so light would go off,Knowledgeable employees,-0.296,Negative
273,Great customer service,Good customer service,0.6249,Very Positive
274,Everyone was really nice it was easy and fast,Fast/Quick/Speedy/Timely,0.7178,Very Positive
275,Prompt and courteous service,Fast/Quick/Speedy/Timely,0.5106,Very Positive
276,"Attendees were warm, friendly, and quick",Friendly,0.6249,Very Positive
277,"Well, I haven't fully committed because one of the specialist wasn't the friendliest",Friendly,-0.4319,Negative
278,"Polite staff, fast service",Courtesy,0.0,Neutral
279,Customer Service,Good customer service,0.0,Neutral
280,Customer service was excellent,Good customer service,0.5719,Very Positive
281,The customer service and promptness of my visit,Good customer service,0.0,Neutral
282,The customer service,Good customer service,0.0,Neutral
283,The courteous service I received,Courtesy,0.5106,Very Positive
284,Very Nice guys there,Friendly,0.4754,Positive
285,The workers were friendly and prompt,Friendly,0.4939,Positive
286,It depends on the cost,Cost,0.0,Neutral
287,I like the recommended service given by the staff,Good customer service,0.5106,Very Positive
288,Good fast service,Good customer service,0.4404,Positive
289,I like the reliability of the service provided,Trustworthy,0.3612,Positive
290,Cost,Cost,0.0,Neutral
291,Depends on what kind of maintenance needed and current location,Convenient,0.0,Neutral
292,Yes,Other,0.4019,Positive
293,Quality service,Good customer service,0.0,Neutral
294,Trusted the team to be fair and accurate with systems in place to assure what is needed is needed,Trustworthy,0.7783,Very Positive
295,Convenient and reliable for me,Convenient,0.0,Neutral
296,Mechanics were very personable and knowledgeable,Professional,0.0,Neutral
297,I enjoyed the time and attention to detail that the techs provided,Fast/Quick/Speedy/Timely,0.5106,Very Positive
298,Convenience,Convenient,0.0,Neutral
299,Prompt service,Fast/Quick/Speedy/Timely,0.0,Neutral
300,Because I am sure about it,Trustworthy,0.3182,Positive
301,Yes,Other,0.4019,Positive
302,Great customer service,Good customer service,0.6249,Very Positive
303,Service men where detailed,Knowledgeable employees,0.0,Neutral
304,Jiffy Lube seems like it's a good place to have an oil change - I don't know how qualified their technicians are to perform other tasks,Have equipment needed,0.6597,Very Positive
305,Staff was very professional and took the time to go through all recommend points of attention pertaining to our vehicle,Professional,0.3612,Positive
306,efficient,Fast/Quick/Speedy/Timely,0.4215,Positive
307,Covience and efficient,Convenient,0.4215,Positive
308,The workers,Good customer service,0.0,Neutral
309,they give good customer service,Good customer service,0.4404,Positive
310,Good place and good people,Good customer service,0.7003,Very Positive
311,"Everyone is always nice and friendly, and the service is always great and fast!  I continue to drive out of my way to go there because I have such good experiences every time I go",Friendly,0.923,Very Positive
312,Staff was great,Good customer service,0.6249,Very Positive
313,I got in right away w/ out appt,Fast/Quick/Speedy/Timely,0.0,Neutral
314,Service where great,Good customer service,0.6249,Very Positive
315,Super efficient,Good customer service,0.7717,Very Positive
316,The staff are always friendly and informative,Friendly,0.4939,Positive
317,"I have always been treated well, my questions are answered and my truck is taken care of as well",Good customer service,0.7506,Very Positive
318,Friendly and courteous service,Friendly,0.7579,Very Positive
319,"For small maintenance, filters, wipers,changing fluids yes",Good customer service,0.4019,Positive
320,Quick and efficient,Fast/Quick/Speedy/Timely,0.4215,Positive
321,fast performance,Fast/Quick/Speedy/Timely,0.0,Neutral
322,Value for the service provided,Value,0.34,Positive
323,Good customer service !,Good customer service,0.4926,Positive
324,great service,Good customer service,0.6249,Very Positive
325,Service was quick,Fast/Quick/Speedy/Timely,0.0,Neutral
326,They were and friendly,Friendly,0.4939,Positive
327,Love the coupons also the service was so fast,Discounts/Coupons,0.6369,Very Positive
328,The mechanics are always so nice and helpful,Courtesy,0.7704,Very Positive
329,It was quick,Fast/Quick/Speedy/Timely,0.0,Neutral
330,Went during slow time so instead of a  couple workers changing my oil while others relaxed they  instead ALL did the work together and therefore I was in and out super quick,Fast/Quick/Speedy/Timely,0.7964,Very Positive
331,I SAW WORK BAY- WELL EQUIPTED!,Have equipment needed,0.3382,Positive
332,The employees were friendly and knowledgable,Friendly,0.4939,Positive
333,I like the timely manner that I can get in and out with good quality of work,Good customer service,0.6597,Very Positive
334,Great service,Good customer service,0.6249,Very Positive
335,I will probably return for new filter that was shown to me at this visit,Have equipment needed,0.0,Neutral
336,"I have a mechanic, but I usually can't wait get an appointment right on the spot like at jiffy lube",Fast/Quick/Speedy/Timely,0.5023,Very Positive
337,Fast efficient service,Fast/Quick/Speedy/Timely,0.4215,Positive
